table,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
C00,0,17.8,11.6,14.3,14.5,13.5,18.3,20.6,23,9.4,0.5,8,0.85,8.4,20.2,25.9,28.8,37.2,25.1,10.6,58,29.9,57.1,57.8,41,46.5,15,85,88.4,17,40.5,59,55.8,75.6,61.7,158,75.6,0.19,45.2,19.6,2.1,27.7,67,23,12.5,6.9,28.3,83.6,9.7
C01,17.8,0,13.2,15.3,15.2,15.1,12.4,21.3,17.3,17,15.5,17.1,15.2,17.5,23,27.1,30,14.2,19.7,13.6,52.3,20.5,51.4,52.1,37.3,37.6,20,75.8,79.2,18.7,39.6,46.2,40.4,74.7,93.9,148,72.6,15.5,46.7,22,13.4,28.5,55.2,17.8,17.2,16,29.5,76.9,15.9
C02,11.6,13.2,0,8.1,5.2,2.5,11.7,13.7,14.6,18.3,17.2,17,16.8,17.4,9.6,14.8,17.7,26.1,33.8,12.2,42.7,23.7,49.1,46,25.7,25.3,3.9,74,77.4,12.3,45.2,51.8,43.8,83.3,99.6,162,62.7,17.3,34,8.5,15.1,16.2,69.3,16.8,12.2,28.5,17.2,91.1,17.2
C03,14.3,15.3,8.1,0,8.7,8.6,6,8.7,8.9,19.5,18.5,18.2,17.5,18.6,15.7,20.6,23.1,31.9,25.3,13.4,45.8,18,47,45.7,30.8,31.2,10.1,71.4,83.2,5.7,49.6,56.2,48.2,84.7,104,153,66.2,18.5,39.8,14.7,15.8,22,63.8,11.1,13.4,17.1,23,82.6,18.4
C04,14.5,15.2,5.2,8.7,0,6.2,10.4,13.4,13.3,18.1,17,16.8,16.6,17.2,9.4,13.2,12.8,25.9,29.7,11.9,42.5,22.3,44.8,45.6,25.5,25.1,34,73.8,77.2,4.7,52,59,48,85,107,158,60.1,17.1,33.8,8.3,14.9,16,65.2,15.4,11.9,15.7,12.3,87,17
C05,13.5,15.1,2.5,8.6,6.2,0,11,12,13,17,16,16,15,16,8.3,14,13,25,33,11,41,22,50,45,24,24,2.7,73,76,19,40,47,41,75,94,161,61,18,33,7.2,13,15,68,15.6,11,15,13,90,16
C06,18.3,12.4,11.7,6,10.4,11,0,22,18,17,16,18,16,18,22,28,27,39,20,14,53,21,52,53,38,38,17,76,80,13.6,53.8,57,52.4,89.3,108,148,73,16,47,22,14,29,56,19.4,18,16,27,77,16
C07,20.6,21.3,13.7,8.7,13.4,12,22,0,17.4,21.1,18.6,19.7,17.1,20.1,10.5,15,21,33.8,33.9,14.9,50.4,26.5,55.6,54.3,33.4,33,11.6,81.7,85,13.6,53.8,57,52.4,89.3,108,162,68,18.4,41.7,9.1,17.4,20,69.8,19.6,19.5,23.6,26.8,87.4,24.9
C08,23,17.3,14.6,8.9,13.3,13,18,17.4,0,26.9,25.4,24.7,25.1,25.1,21.9,27.5,30.4,38.8,29.6,19.9,55.5,9.1,43.6,36.1,42.9,38,16.6,68,71.4,18.6,49.5,44,35,82.4,107,161,74,25.4,46.7,21.2,22.8,28.9,62.9,0.29,19.9,28.5,29.9,87.4,25.9
C09,9.4,17,18.3,19.5,18.1,17,17,21.1,26.9,0,6.3,6,7,6.4,23.5,28.9,28.6,40,15,31.2,56.6,31.2,56.1,58.9,44,39.3,42.7,82.6,86,19.8,38.1,41.5,48.8,73.2,91.1,145,74.2,6.3,47.9,22.4,8.5,30.2,53.7,25.9,15.4,8,28.1,73.9,4.4
C10,0.5,15.5,17.2,18.5,17,16,16,18.6,25.4,6.3,0,8,0.85,8.4,20,26,29,37,21,11,54,30,55,58,37,36,15,77,85,17,42,48,50,77,96,150,71,0.18,45,20,2.1,27,57,23,13,30,28,79,8.3
C11,8,17.1,17,18.2,16.8,16,18,19.7,24.7,6,8,0,4.9,0.4,21.2,26.9,29.9,38.2,19.7,11.7,54.8,31,55.7,58.5,37.8,37.5,16,86.1,89.5,18,39.6,46.2,53.5,74.7,93.9,148,72.4,4.5,46.1,20.6,6.7,28.3,55.2,24.1,13.6,6.9,29.3,76.9,3.9
C12,0.85,15.2,16.8,17.5,16.6,15,16,17.1,25.1,7,0.85,4.9,0,8.4,20.2,25.9,28.4,37.2,24.7,10.6,53.8,29.8,54.7,57.5,36.8,36.4,15,85,88.4,17,45.8,51.2,49.8,79.7,99,153,71.4,0.85,45.1,19.5,1.8,27.3,60.2,23,12.5,7,28.3,82,9.3
C13,8.4,17.5,17.4,18.6,17.2,16,18,20.1,25.1,6.4,8.4,0.4,8.4,0,21.6,27.3,29.8,38.6,20.1,12.1,55.2,31.4,56.1,58.9,38.5,37.9,16.4,86.5,89.9,18.4,40,46.6,53.9,75.1,63.6,148,72.8,4.9,46.5,21,7.1,28.8,55.6,24.5,14,45.1,29.7,83.1,4.3
C14,20.2,23,9.6,15.7,9.4,8.3,22,10.5,21.9,23.5,20,21.2,20.2,21.6,0,8.2,14.2,25.3,37.8,18.9,41.8,30.5,47.9,50.7,24.9,24.5,12.2,73.1,76.5,9.4,57.7,64.4,56.3,92.8,112,166,59.5,24,33.2,2.3,21.8,13.1,67.9,23.6,16.2,30.2,14.2,14.2,24
C15,25.9,27.1,14.8,20.6,13.2,14,28,15,27.5,28.9,26,26.9,25.9,27.3,8.2,0,9.5,18.8,41.3,23.8,35.4,35.8,45.2,48,22.4,18,15.5,66.7,70.1,10,61.1,67.8,67.4,96.3,116,169,53,28.9,26.7,7.9,26.7,8.4,76.8,29,21.9,27.5,9.5,98.5,28.8
C16,28.8,30,17.7,23.1,12.8,13,27,21,30.4,28.6,29,29.9,28.4,29.8,14.2,9.5,0,16,42,23,28,33,35,38,13,15,15,64,67,9.1,62,66,59,94,117,170,50,28,24,15,26,1.3,75,27,23,34,1.3,100,31
C17,37.2,14.2,26.1,31.9,25.9,25,39,33.8,38.8,40,37,38.2,37.2,38.6,25.3,18.8,16,0,51,34.9,15.1,45.6,33.8,39.8,9.3,6.8,26.6,57.9,61.3,20.5,70.9,77.5,77.2,106,134,188,44.2,40,9.7,26.6,37.8,16.5,86.5,38.8,34.9,38.6,16.2,108,39.9
C18,25.1,19.7,33.8,25.3,29.7,33,20,33.9,29.6,15,21,19.7,24.7,20.1,37.8,41.3,42,51,0,34.1,76.8,46.9,73.9,76.6,62.8,62.1,44.5,100,104,43.3,23.6,43.6,50.9,58.7,86.4,140,97.1,27,70.8,46.5,29.8,29.8,32.1,48,36.1,27.5,54,66.7,25.1
C19,10.6,13.6,12.2,13.4,11.9,11,14,14.9,19.9,31.2,11,11.7,10.6,12.1,18.9,23.8,23,34.9,34.1,0,49.4,25.5,51.6,54.3,32.4,32,10.6,80.7,84,12.6,46.6,50.5,51.4,79,98.2,152,67,13.3,40.7,15.2,11.1,22.9,59.5,18.6,8.1,11.9,23.9,87,13.2
C20,58,52.3,42.7,45.8,42.5,41,53,50.4,55.5,56.6,54,54.8,53.8,55.2,41.8,35.4,28,15.1,76.8,49.4,0,60.1,36.7,48.2,18,15.3,28,46.4,49.8,35.1,85.4,92.1,86,124,140,194,35.1,54.5,12.7,41.2,52.4,31,104,53.3,49.4,60.2,30.7,123,54.5
C21,29.9,20.5,23.7,18,22.3,22,21,26.5,9.1,31.2,30,31,29.8,31.4,30.5,35.8,33,45.6,46.9,25.5,60.1,0,41,37,38,47,25,62,66,28,52,35,26,82,106,160,79,34,55,30,31,38,53,11,29,32,33,87,34
C22,57.1,51.4,49.1,47,44.8,50,52,55.6,43.6,56.1,55,55.7,54.7,56.1,47.9,45.2,35,33.8,73.9,51.6,36.7,41,0,15.6,25.4,29.3,46.5,32.7,36.1,40.8,81.5,60.4,59.3,114,139,192,52.3,57.5,39.7,49.3,55.4,35.5,86.3,42.8,53.7,58,33.9,119,57.6
C23,57.8,52.1,46,45.7,45.6,45,53,54.3,36.1,58.9,58,58.5,57.5,58.9,50.7,48,58.5,57.5,76.6,54.3,48.2,37,15.6,0,30.3,34.3,43.2,34,37.4,42.7,83.4,53.8,48.9,106,130,184,64.1,59.3,44.6,45.2,57.3,37.4,72.5,34.8,55.6,63.1,35.8,111,59.5
C24,41,37.3,25.7,30.8,25.5,24,38,33.4,42.9,44,37,37.8,36.8,38.5,24.9,22.4,13,9.3,62.8,32.4,18,38,25.4,30.3,0,5.4,27,44,49,21,71,75,67,106,125,179,41,40,16,24,38,14,86,39,35,39,14,108,40
C25,46.5,37.6,25.3,31.2,25.1,24,38,33,38,39.3,36,37.5,36.4,37.9,24.5,18,15,6.8,62.1,32,15.3,47,29.3,34.3,5.4,0,27.2,58.8,62.2,21.1,71.5,78,69.5,107,126,180,45.1,40.6,12.5,27.2,38.4,15.4,87.1,39.4,35.5,48.6,14.5,109,40.5
C26,15,20,3.9,10.1,34,2.7,17,11.6,16.6,42.7,15,16,15,16.4,12.2,15.5,15,26.6,44.5,10.6,28,25,46.5,43.2,27,27.2,0,38.8,42.2,28.1,68.8,60.6,50.8,106,130,184,41.2,44.8,26.5,37.9,42.7,26.1,86.2,34.7,41,45.3,21.3,111,44.9
C27,85,75.8,74,71.4,73.8,73,76,81.7,68,82.6,77,86.1,85,86.5,73.1,66.7,64,57.9,100,80.7,46.4,62,32.7,34,44,58.8,38.8,0,9.4,68.7,102,79.9,75,132,157,210,61.6,80.4,53.6,74.7,78.4,64.6,98.6,60.9,83,84.5,64.3,137,80.9
C28,88.4,79.2,77.4,83.2,77.2,76,80,85,71.4,86,85,89.5,88.4,89.9,76.5,70.1,67,61.3,104,84,49.8,66,36.1,37.4,49,62.2,42.2,9.4,0,71.2,105,82.5,77.6,135,159,213,64.2,83,56.2,77.3,80.9,67.2,101,63.5,85.6,89.3,66.9,140,83.5
C29,17,18.7,5.9,12.3,5.7,4.7,19,13.6,18.6,19.8,17,18,17,18.4,9.4,10,9.1,20.5,43.3,12.6,35.1,28,40.8,42.7,21,21.1,28.1,68.7,71.2,0,50.2,56.9,56.5,85.4,105,158,58.4,18.9,32.1,7.5,16.7,14.3,65.9,18.1,13.8,32.4,15.3,87.6,18.8
C30,40.5,39.6,53.7,45.2,49.6,52,40,53.8,49.5,38.1,42,39.6,45.8,40,57.7,61.1,62,70.9,23.6,46.6,85.4,52,81.5,83.4,71,71.5,68.8,102,105,50.2,0,46,56,45,56,110,107,37,80,56,39,63,27,54,46,35,64,39,35
C31,59,46.2,60.3,51.8,56.2,59,47,57,44,41.5,48,46.2,51.2,46.6,64.4,67.8,66,77.5,43.6,50.5,92.1,35,60.4,53.8,75,78,60.6,79.9,82.5,56.9,46,0,20.1,51.3,97.2,151,118,44.2,91.8,67.5,47,74,25.6,45,53.3,45.4,75,65.3,42.3
C32,55.8,40.4,49.6,43.8,48.2,48,41,52.4,35,48.8,50,53.5,49.8,53.9,56.3,67.4,59,77.2,50.9,51.4,86,26,59.3,48.9,67,69.5,50.8,75,77.6,56.5,56,20.1,0,62.5,108,162,111,49.4,84.8,60.5,49,67,36.6,34.9,52.5,48,68,76.3,47.6
C33,75.6,74.7,88.8,83.3,84.7,85,75,89.3,82.4,73.2,77,74.7,79.7,75.1,92.8,96.3,94,106,58.7,79,124,82,114,106,106,107,106,132,135,85.4,45,51.3,62.5,0,91.6,120,149,79.4,123,98.8,82.2,105,28.6,79.1,88.4,78,106,50.2,77.5
C34,61.7,93.9,108,99.6,104,107,94,108,107,91.1,96,93.9,99,63.6,112,116,117,134,86.4,98.2,140,106,139,130,125,126,130,157,159,105,56,97.2,108,91.6,0,55,161,91,135,110,94,117,84,108,100,89,118,53,89
C35,158,148,162,153,158,161,148,162,161,145,150,148,153,148,166,169,170,188,140,152,194,160,192,184,179,180,184,210,213,158,110,151,162,120,55,0,214,144,187,163,146,170,142,161,153,142,171,86.8,142
C36,75.6,72.6,62.7,66.2,60.1,61,73,68,74,74.2,71,72.4,71.4,72.8,59.5,53,50,44.2,97.1,67,35.1,79,52.3,64.1,41,45.1,41.2,61.6,64.2,58.4,107,118,111,149,161,214,0,72.3,37.9,59,70.2,48.9,122,71.2,67.3,75.9,48.9,141,72.3
C37,0.19,15.5,17.3,18.5,17.1,18,16,18.4,25.4,6.3,0.18,4.5,0.85,4.9,24,28.9,28,40,27,13.3,54.5,34,57.5,59.3,40,40.6,44.8,80.4,83,18.9,37,44.2,49.4,79.4,91,144,72.3,0,45,19.5,6.1,27.3,57.4,23,12.5,6.9,28.2,79.2,9.7
C38,45.2,46.7,34,39.8,33.8,33,47,41.7,46.7,47.9,45,46.1,45.1,46.5,33.2,26.7,24,9.7,70.8,40.7,12.7,55,39.7,44.6,16,12.5,26.5,53.6,56.2,32.1,80,91.8,84.8,123,135,187,37.9,45,0,35.6,46.8,25.4,98.5,47.7,43.8,47.5,23.7,117,48.9
C39,19.6,22,8.5,14.7,8.3,7.2,22,9.1,21.2,22.4,20,20.6,19.5,21,2.3,7.9,15,26.6,46.5,15.2,41.2,30,49.3,45.2,24,27.2,37.9,74.7,77.3,7.5,56,67.5,60.5,98.8,110,163,59,19.5,35.6,0,20.9,14.9,70.8,22.6,15.3,21.6,16,92.6,23
C40,2.1,13.4,15.1,15.8,14.9,13,14,17.4,22.8,8.5,2.1,6.7,1.8,7.1,21.8,26.7,26,37.8,29.8,11.1,52.4,31,55.4,57.3,38,38.4,42.7,78.4,80.9,16.7,39,47,49,82.2,94,146,70.2,6.1,46.8,20.9,0,27.3,58.8,23.4,12.6,42.3,28.3,80.6,7.9
C41,27.7,28.5,16.2,22,16,15,29,20,28.9,30.2,27,28.3,27.3,28.8,13.1,8.4,1.3,16.5,29.8,22.9,31,38,35.5,37.4,14,15.4,26.1,64.6,67.2,14.3,63,74,67,105,117,170,48.9,27.3,25.4,14.9,27.3,0,75,27,23,26,1.2,99,28
C42,67,55.2,69.3,63.8,65.2,68,56,69.8,62.9,53.7,57,55.2,60.2,55.6,67.9,76.8,75,86.5,32.1,59.5,104,53,86.3,72.5,86,87.1,86.2,98.6,101,65.9,27,25.6,36.6,28.6,84,142,122,57.4,98.5,70.8,58.8,75,0,55.1,64.4,53.9,82.3,41.7,53.4
C43,23,17.8,16.8,11.1,15.4,15.6,19.4,19.6,0.29,25.9,23,24.1,23,24.5,23.6,29,27,38.8,48,18.6,53.3,11,42.8,34.8,39,39.4,34.7,60.9,63.5,18.1,54,45,34.9,79.1,108,161,71.2,23,47.7,22.6,23.4,27,55.1,0,17.9,63.7,26.4,90.2,22.9
C44,12.5,17.2,12.2,13.4,11.9,11,18,19.5,19.9,15.4,13,13.6,12.5,14,16.2,21.9,23,34.9,36.1,8.1,49.4,29,53.7,55.6,35,35.5,41,83,85.6,13.8,46,53.3,52.5,88.4,100,153,67.3,12.5,43.8,15.3,12.6,23,64.4,17.9,0,14,21.7,80.5,15.3
C45,6.9,16,28.5,17.1,15.7,15,16,23.6,28.5,8,30,6.9,7,45.1,30.2,27.5,34,38.6,27.5,11.9,60.2,32,58,63.1,39,48.6,45.3,84.5,89.3,32.4,35,45.4,48,78,89,142,75.9,6.9,47.5,21.6,42.3,26,53.9,63.7,14,0,28.9,76.6,10
